name,group_tag,friendly_name,Current/New,model,image_size,accuracy,secs_per_frame,,directory,model creation date,ell_model_size_MB,secs_per_frame_pi3,trained epochs,training progress
resnetconf_I64x64x3_ADS,64x64,Coconut,New,resnetconf,64,44.41, 0.049 , 49 ,D:\Work\ELL-models\models\ILSVRC2012\Coconut,7/25/2018,10,0.049444258,0,0
resnetconf_I64x64x3_ADS,64x64,Elderflower,Current,resnetconf,64,49.32, 0.109 , 109 ,D:\Work\ELL-models\models\ILSVRC2012\Elderflower,7/26/2018,57,0.108978331,0,0
resnetconf_bottleneck_I64x64x3_1AS,64x64,Clover,New,resnetconf_bottleneck,64,53.04, 0.145 , 145 ,D:\Work\ELL-models\models\ILSVRC2012\Clover,7/25/2018,42,0.144568622,0,0
resnetconf_I128x128x3_ADS,128x128,Bean,New,resnetconf,128,55.12, 0.145 , 145 ,D:\Work\ELL-models\models\ILSVRC2012\Bean,7/25/2018,16,0.145381331,0,0
resnetconf_bottleneck_I64x64x3_1AS,64x64,Candlenut,Current,resnetconf_bottleneck,64,54.39, 0.166 , 166 ,D:\Work\ELL-models\models\ILSVRC2012\Candlenut,7/26/2018,57,0.165765107,0,0
resnetconf_I128x128x3_1AS,128x128,CashewNut,New,resnetconf,128,60.22, 0.176 , 176 ,D:\Work\ELL-models\models\ILSVRC2012\CashewNut,7/25/2018,26,0.175896764,0,0
resnetconf_bottleneck_I64x64x3_1AS,64x64,Buckthorn,New,resnetconf_bottleneck,64,57.57, 0.192 , 192 ,D:\Work\ELL-models\models\ILSVRC2012\Buckthorn,7/25/2018,72,0.191549897,0,0
resnetconf_I128x128x3_ADS,128x128,Ginger,New,resnetconf,128,62.33, 0.210 , 210 ,D:\Work\ELL-models\models\ILSVRC2012\Ginger,7/25/2018,34,0.210169017,0,0
resnetconf_bottleneck_I64x64x3_1AS,64x64,Chalta,Current,resnetconf_bottleneck,64,58.74, 0.219 , 219 ,D:\Work\ELL-models\models\ILSVRC2012\Chalta,7/26/2018,115,0.219346762,0,0
resnetconf_bottleneck_I64x64x3_1AS,64x64,WaterApple,New,resnetconf_bottleneck,64,61.21, 0.301 , 301 ,D:\Work\ELL-models\models\ILSVRC2012\WaterApple,7/25/2018,108,0.301430821,0,0
resnetconf_bottleneck_I64x64x3_1AS,64x64,PandanFlower,Current,resnetconf_bottleneck,64,62.05, 0.363 , 363 ,D:\Work\ELL-models\models\ILSVRC2012\PandanFlower,7/26/2018,172,0.363149762,0,0
resnetconf_I128x128x3_1AS,128x128,Carrot,Current,resnetconf,128,64.61, 0.444 , 444 ,D:\Work\ELL-models\models\ILSVRC2012\Carrot,7/26/2018,166,0.443756402,0,0
resnet101_f_I64x64x3_1AS,64x64,Wattleseed,Current,resnet101,64,63.23, 0.527 , 527 ,D:\Work\ELL-models\models\ILSVRC2012\Wattleseed,7/26/2018,373,0.527457416,0,0
resnetconf_I128x128x3_ADS,128x128,SevenSisters,Current,resnetconf,128,66.04, 0.552 , 552 ,D:\Work\ELL-models\models\ILSVRC2012\SevenSisters,7/26/2018,232,0.552242994,0,0
resnetconf_bottleneck_I128x128x3_1AS,128x128,Clary,New,resnetconf_bottleneck,128,66.65, 0.597 , 597 ,D:\Work\ELL-models\models\ILSVRC2012\Clary,7/25/2018,106,0.597482264,0,0
resnetconf_bottleneck_I128x128x3_1AS,128x128,Tamarind,New,resnetconf_bottleneck,128,70.46, 0.753 , 753 ,D:\Work\ELL-models\models\ILSVRC2012\Tamarind,7/25/2018,168,0.752750695,0,0
resnet152_f_I64x64x3_1AS,64x64,Mashua,Current,resnet152,64,64.59, 0.804 , 804 ,D:\Work\ELL-models\models\ILSVRC2012\Mashua,7/26/2018,581,0.803883195,0,0
resnetconf_bottleneck_I128x128x3_1AS,128x128,Sweetsop,New,resnetconf_bottleneck,128,72.24, 1.126 ," 1,126 ",D:\Work\ELL-models\models\ILSVRC2012\Sweetsop,7/25/2018,173,1.126092196,0,0
